full_name,clone_url,default_branch,stargazers_count,last_pushed,license_spdx,license_class,language,archived
SteeltoeOSS/Samples,https://github.com/SteeltoeOSS/Samples.git,main,647,2026-04-15,Apache-2.0,permissive,C#,False
Sylius/CmsPlugin,https://github.com/Sylius/CmsPlugin.git,1.1,17,2026-04-07,MIT,permissive,PHP,False
Sylius/InvoicingPlugin,https://github.com/Sylius/InvoicingPlugin.git,2.1,90,2026-04-19,MIT,permissive,PHP,False
Sylius/Sylius,https://github.com/Sylius/Sylius.git,2.3,8450,2026-04-19,MIT,permissive,PHP,False
TheMorpheus407/BattleOfAI,https://github.com/TheMorpheus407/BattleOfAI.git,master,15,2021-05-06,GPL-3.0,copyleft,JavaScript,False
Trevoke/sqlup-mode.el,https://github.com/Trevoke/sqlup-mode.el.git,master,91,2023-07-11,GPL-3.0,copyleft,Emacs Lisp,False
TrustTheVote-Project/Rocky-OVR,https://github.com/TrustTheVote-Project/Rocky-OVR.git,main,11,2026-03-16,NOASSERTION,unknown,Ruby,False
WebsiteIntranetModel/wim,https://github.com/WebsiteIntranetModel/wim.git,7.x-2.x,10,2023-04-20,,unlicensed,PHP,False
activeadmin/activeadmin,https://github.com/activeadmin/activeadmin.git,master,9685,2026-04-14,MIT,permissive,Ruby,False
adamklawonn/CityCircles,https://github.com/adamklawonn/CityCircles.git,master,10,2011-08-09,GPL-3.0,copyleft,Python,False
airslie/renalware,https://github.com/airslie/renalware.git,main,10,2026-04-09,MIT,permissive,Ruby,False
alexcouper/captainhook,https://github.com/alexcouper/captainhook.git,master,54,2017-05-10,BSD-3-Clause,permissive,Python,False
allourideas/allourideas.org,https://github.com/allourideas/allourideas.org.git,master,164,2024-04-15,BSD-3-Clause,permissive,Ruby,False
alphagov/e-petitions,https://github.com/alphagov/e-petitions.git,master,312,2026-04-17,MIT,permissive,Ruby,False
api-platform/core,https://github.com/api-platform/core.git,main,2557,2026-04-01,MIT,permissive,PHP,False
armandofox/audience1st,https://github.com/armandofox/audience1st.git,main,17,2026-04-16,NOASSERTION,unknown,Ruby,False
arthurschreiber/tclspec,https://github.com/arthurschreiber/tclspec.git,master,15,2013-08-29,MIT,permissive,Tcl,False
asher/chronos-python,https://github.com/asher/chronos-python.git,master,39,2017-08-11,NOASSERTION,unknown,Python,False
avdgaag/typogruby,https://github.com/avdgaag/typogruby.git,master,50,2020-05-04,MIT,permissive,Ruby,False
averdeny/graphglot,https://github.com/averdeny/graphglot.git,main,15,2026-04-16,Apache-2.0,permissive,Python,False
awesomefoundation/awesomebits,https://github.com/awesomefoundation/awesomebits.git,master,61,2026-02-20,AGPL-3.0,copyleft,Ruby,False
aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui.git,main,1120,2026-04-17,Apache-2.0,permissive,TypeScript,False
aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby.git,version-3,3642,2026-04-17,Apache-2.0,permissive,Ruby,False
badges/badgerbadgerbadger,https://github.com/badges/badgerbadgerbadger.git,master,185,2020-06-25,MIT,permissive,Ruby,False
balamaci/blog-ui-bdd-testing,https://github.com/balamaci/blog-ui-bdd-testing.git,master,12,2015-11-10,,unlicensed,Java,False
ball-hayden/uk_account_validator,https://github.com/ball-hayden/uk_account_validator.git,master,10,2024-06-14,BSD-2-Clause,permissive,Ruby,False
bdfinst/interactive-cd,https://github.com/bdfinst/interactive-cd.git,main,31,2026-02-15,,unlicensed,JavaScript,False
behave/behave,https://github.com/behave/behave.git,main,3473,2026-04-16,NOASSERTION,unknown,Python,False
bf4/book_code,https://github.com/bf4/book_code.git,master,29,2024-11-19,,unlicensed,,False
bfaloona/Indy,https://github.com/bfaloona/Indy.git,master,30,2025-12-25,,unlicensed,Ruby,False
billabear/billabear,https://github.com/billabear/billabear.git,main,742,2026-02-07,NOASSERTION,unknown,PHP,False
browsermedia/browsercms,https://github.com/browsermedia/browsercms.git,master,1166,2022-07-21,LGPL-3.0,copyleft,Ruby,False
bugsnag/bugsnag-java,https://github.com/bugsnag/bugsnag-java.git,next,58,2026-04-13,MIT,permissive,Java,False
buildingSMART/ifc-gherkin-rules,https://github.com/buildingSMART/ifc-gherkin-rules.git,main,22,2026-04-12,MIT,permissive,Python,False
bustardcelly/caddis,https://github.com/bustardcelly/caddis.git,master,56,2014-04-29,MIT,permissive,JavaScript,False
calabash/DeviceAgent.iOS,https://github.com/calabash/DeviceAgent.iOS.git,develop,17,2025-01-22,MIT,permissive,Objective-C,False
calabash/ios-smoke-test-app,https://github.com/calabash/ios-smoke-test-app.git,master,40,2024-09-19,MIT,permissive,Objective-C,False
camdez/checkbox.el,https://github.com/camdez/checkbox.el.git,master,12,2015-04-05,,unlicensed,Emacs Lisp,False
camiloribeiro/cello,https://github.com/camiloribeiro/cello.git,master,17,2018-04-07,NOASSERTION,unknown,Ruby,False
camsys/oneclick,https://github.com/camsys/oneclick.git,develop,14,2018-01-08,,unlicensed,JavaScript,False
canonical/ubuntu-pro-client,https://github.com/canonical/ubuntu-pro-client.git,main,69,2026-04-17,GPL-3.0,copyleft,Python,False
canvaspixels/courgette,https://github.com/canvaspixels/courgette.git,master,68,2023-02-04,,unlicensed,JavaScript,False
cheezy/page-object,https://github.com/cheezy/page-object.git,master,649,2021-05-03,MIT,permissive,Ruby,False
